URN,LANAME,SCHNAME,OFSTEDRATING,STREET,LOCALITY,TOWN,ISPRIMARY,ISSECONDARY,ISPOST16,GENDER
100504,Kensington and Chelsea,Our Lady of Victories RC Primary School,Good,Clareville Street,Kensington and Chelsea,London,1,0,0,Mixed
100505,Kensington and Chelsea,St Charles Catholic Primary School,Good,83 St Charles Square,,London,1,0,0,Mixed
100507,Kensington and Chelsea,Redcliffe Gardens School,,47 Redcliffe Gardens,,London,1,0,0,Mixed
100508,Kensington and Chelsea,Glendower Preparatory School,,86/87 Queen's Gate,South Kensington,London,1,0,0,Girls
100510,Kensington and Chelsea,Norland Place School,,162-166 Holland Park Avenue,,London,1,0,0,Mixed
100511,Kensington and Chelsea,Queen's Gate School,,133 Queen's Gate,Kensington,London,1,1,1,Girls
100514,Kensington and Chelsea,Sussex House School,,68 Cadogan Square,Chelsea,London,1,1,0,Boys
100516,Kensington and Chelsea,St Philip's School,Good,6 Wetherby Place,,London,1,1,0,Boys
100518,Kensington and Chelsea,Hill House School,Good,Hans Place,Knightsbridge,London,1,1,0,Mixed
100519,Kensington and Chelsea,Wetherby School,,11 Pembridge Square,,London,1,0,0,Boys
100520,Kensington and Chelsea,Falkner House,,19 Brechin Place,,London,1,0,0,Mixed
100523,Hounslow,Falcons Pre-Preparatory Chiswick,,2 Burnaby Gardens,Chiswick,London,1,0,0,Mixed
100530,Wandsworth,Thomas's Battersea,,28-40 Battersea High Street,,London,1,1,0,Mixed
100532,Kensington and Chelsea,Instituto Espanol Canada Blanch,,317 Portobello Road,,London,1,1,1,Mixed
100533,Kensington and Chelsea,Knightsbridge School,,67 Pont Street,,London,1,1,0,Mixed
100534,Kensington and Chelsea,Thomas's Kensington,,17-19 Cottesmore Gardens,,London,1,0,0,Mixed
100536,Westminster,Kensington Park School,,40-44 Bark Place,Bayswater,London,0,1,1,Mixed
100537,Kensington and Chelsea,Ashbourne College,Outstanding,17 Old Court Place,Kensington,London,0,1,1,Mixed
100538,Kensington and Chelsea,Cameron Vale School,,4 The Vale,Chelsea,London,1,0,0,Mixed
100539,Kensington and Chelsea,Collingham,,23 Collingham Gardens,,London,0,1,1,Mixed
100541,Westminster,Portland Place School,,56-58 Portland Place,,London,1,1,1,Mixed
100542,Kensington and Chelsea,Southbank International School Kensington,,36-38 Kensington Park Road,,London,1,0,0,Mixed
100545,Kensington and Chelsea,La Petite Ecole Francaise,,,73 St Charles Square,London,1,0,0,Mixed
100547,Kensington and Chelsea,Lycee Francais Charles de Gaulle,Inadequate,35 Cromwell Road,London,London,1,1,1,Mixed
100556,Lambeth,Ashmole Primary School,Outstanding,Ashmole Street,,London,1,0,0,Mixed
100560,Lambeth,Clapham Manor Primary School,Good,Belmont Road,Clapham,London,1,0,0,Mixed
100564,Lambeth,Granton Primary School,Outstanding,Granton Road,Streatham,London,1,0,0,Mixed
100566,Lambeth,Heathbrook Primary School,Good,St Rule Street,,London,1,0,0,Mixed
100567,Lambeth,Henry Cavendish Primary School,Outstanding,Hydethorpe Road,,London,1,0,0,Mixed
100572,Lambeth,Jessop Primary School,Outstanding,Lowden Road,Herne Hill,London,1,0,0,Mixed
100574,Lambeth,Kingswood Primary School,Good,Gipsy Road,,London,1,0,0,Mixed
100576,Lambeth,Larkhall Primary Campus,Good,Smedley Street,Clapham,London,1,0,0,Mixed
100577,Lambeth,Paxton Primary School,Good,Woodland Road,,London,1,0,0,Mixed
100578,Lambeth,Richard Atkins Primary School,Good,New Park Road,,London,1,0,0,Mixed
100582,Lambeth,Stockwell Primary School,Good,Stockwell Road,,London,1,0,0,Mixed
100584,Lambeth,Sudbourne Primary School,Good,Mandrell Road,Brixton,London,1,0,0,Mixed
100585,Lambeth,Sunnyhill Primary School,Good,Sunnyhill Road,Streatham,London,1,0,0,Mixed
100586,Lambeth,Telferscot Primary School,Outstanding,Telferscot Road,Balham,London,1,0,0,Mixed
100588,Lambeth,Vauxhall Primary School,Good,Vauxhall Street,,London,1,0,0,Mixed
100589,Lambeth,Walnut Tree Walk Primary School,Good,Walnut Tree Walk,,London,1,0,0,Mixed
100590,Lambeth,Woodmansterne School,Good,Woodmansterne Road,Streatham,London,1,1,1,Mixed
100591,Lambeth,"Wyvil Primary School and Resource Bases for Speech, Language and Communication Needs, and Autism",Good,Wyvil Road,,London,1,0,0,Mixed
100593,Lambeth,Crown Lane Primary School,Good,Crown Lane,Streatham,London,1,0,0,Mixed
100595,Lambeth,Fenstanton Primary School,Requires improvement,Abbots Park,Tulse Hill,London,1,0,0,Mixed
100597,Lambeth,Elm Wood School,Good,Carnac Street,West Norwood,London,1,0,0,Mixed
100598,Lambeth,Allen Edwards Primary School,Good,Studley Road,Stockwell,London,1,0,0,Mixed
100601,Lambeth,Glenbrook Primary School,Good,Clarence Crescent,Clapham Park,London,1,0,0,Mixed
100602,Lambeth,Julian's School,Good,16 Wolfington Road,West Norwood,London,1,0,0,Mixed
100604,Lambeth,Herbert Morrison Primary School,Outstanding,Hartington Road,,London,1,0,0,Mixed
100608,Lambeth,Streatham Wells Primary School,Good,50 Palace Road,,London,1,0,0,Mixed
100609,Lambeth,Archbishop Sumner Church of England Primary School,Outstanding,Reedworth Street,Lambeth,London,1,0,0,Mixed
100610,Lambeth,Christ Church Primary SW9,Good,Cancell Road,North Brixton,London,1,0,0,Mixed
100613,Lambeth,St Andrew's Church of England Primary School,Good,Kay Road,Stockwell,London,1,0,0,Mixed
100614,Lambeth,St John the Divine Church of England Primary School,Good,Warham Street,Camberwell New Road,London,1,0,0,Mixed
100615,Lambeth,St John's Angell Town Church of England Primary School,Good,85 Angell Road,Brixton,London,1,0,0,Mixed
100616,Lambeth,St Jude's Church of England Primary School,Good,Regent Road,Herne Hill,London,1,0,0,Mixed
100619,Lambeth,St Mark's Church of England Primary School,Good,Harleyford Road,Kennington,London,1,0,0,Mixed
100620,Lambeth,St Saviour's Church of England Primary School,Good,Herne Hill Road,,London,1,0,0,Mixed
100621,Lambeth,St Stephen's Church of England Primary School,Good,Dorset Road,,London,1,0,0,Mixed
100622,Lambeth,Holy Trinity Church of England Primary School,Requires improvement,Upper Tulse Hill,Lambeth,London,1,0,0,Mixed
100623,Lambeth,St Helen's Catholic Primary School,Good,Knowle Close,Brixton,London,1,0,0,Mixed
100624,Lambeth,The Norwood School,Good,Crown Dale,Lambeth,London,0,1,1,Mixed
100625,Lambeth,Lilian Baylis Technology School,Outstanding,323 Kennington Lane,Kennington,London,0,1,1,Mixed
100627,Lambeth,Saint Gabriel's College,Good,Langton Road,,London,0,1,0,Mixed
100628,Lambeth,St Bernadette Catholic Junior School,Good,1 - 4 Atkins Road,Clapham Park,London,1,0,0,Mixed
100629,Lambeth,St Anne's Catholic Primary School,Requires improvement,6 Durham Street,,London,1,0,0,Mixed
100631,Lambeth,St Bede's Catholic Infant School,Good,Thornton Road,Clapham Park,London,1,0,0,Mixed
100632,Lambeth,St Andrew's Catholic Primary School,Outstanding,Polworth Road,Streatham,London,1,0,0,Mixed
100633,Lambeth,Immanuel and St Andrew Church of England Primary School,Outstanding,Northanger Road,Streatham,London,1,0,0,Mixed
100636,Lambeth,St Mary's Roman Catholic Primary School,Outstanding,Crescent Lane,Clapham,London,1,0,0,Mixed
100637,Lambeth,La Retraite Roman Catholic Girls' School,Outstanding,Atkins Road,,London,0,1,1,Girls
100638,Lambeth,Bishop Thomas Grant Catholic Secondary School,Outstanding,Belltrees Grove,,London,0,1,1,Mixed
100642,Lambeth,London Nautical School,Requires improvement,61 Stamford Street,Waterloo,London,0,1,1,Boys
100643,Lambeth,Turney Primary and Secondary Special School,Outstanding,Turney Road,,London,1,1,1,Mixed
100645,Lambeth,Rosemead Preparatory School,,70 Thurlow Park Road,West Dulwich,London,1,0,0,Mixed
100651,Lambeth,The White House Preparatory School & Woodentops Kindergarten,,24 Thornton Road,,London,1,0,0,Mixed
100654,Lambeth,Lansdowne School,Good,49 Combermere Road,,London,0,1,1,Mixed
100659,Lambeth,Elm Court School,Outstanding,Elm Park,,London,0,1,1,Mixed
100671,Lewisham,Adamsrill Primary School,Good,Adamsrill Road,Sydenham,London,1,0,0,Mixed
100672,Lewisham,Athelney Primary School,Good,Athelney Street,,London,1,0,0,Mixed
100673,Lewisham,Baring Primary School,Good,Linchmere Road,Lee,London,1,0,0,Mixed
100674,Lewisham,Beecroft Garden Primary,Good,Beecroft Road,,London,1,0,0,Mixed
100676,Lewisham,Cooper's Lane Primary School,Good,Pragnell Road,,London,1,0,0,Mixed
100677,Lewisham,Dalmain Primary School,Good,Grove Close,Brockley Rise,London,1,0,0,Mixed
100678,Lewisham,Deptford Park Primary School,Good,Evelyn Street,,London,1,0,0,Mixed
100680,Lewisham,Edmund Waller Primary School,Good,Waller Road,New Cross,London,1,0,0,Mixed
100681,Lewisham,Elfrida Primary School,Good,Elfrida Crescent,Bellingham,London,1,0,0,Mixed
100685,Lewisham,Grinling Gibbons Primary School,Good,Clyde Street,Deptford,London,1,0,0,Mixed
100686,Lewisham,Haseltine Primary School,Good,Haseltine Road,Bell Green,London,1,0,0,Mixed
100687,Lewisham,Brindishe Green School,Good,Beacon Road,,London,1,0,0,Mixed
100688,Lewisham,Holbeach Primary School,Good,Nelgarde Road,,London,1,0,0,Mixed
100689,Lewisham,John Stainer Community Primary School,Outstanding,Mantle Road,Brockley,London,1,0,0,Mixed
100690,Lewisham,Kelvin Grove Primary School,Good,Kelvin Grove,,London,1,0,0,Mixed
100691,Lewisham,Kender Primary School,Good,Kender Street,New Cross,London,1,0,0,Mixed
100693,Lewisham,Brindishe Manor School,Outstanding,Leahurst Road,Lewisham,London,1,0,0,Mixed
100695,Lewisham,Lucas Vale Primary School,Good,Thornville Street,,London,1,0,0,Mixed
100696,Lewisham,Marvels Lane Primary School,Good,Riddons Road,Grove Park,London,1,0,0,Mixed
100700,Lewisham,Rathfern Primary School,Outstanding,Rathfern Road,Catford,London,1,0,0,Mixed
100701,Lewisham,Rushey Green Primary School,Good,Culverley Road,Catford,London,1,0,0,Mixed
100703,Lewisham,Sandhurst Primary School,Good,Minard Road,Catford,London,1,0,0,Mixed
100704,Lewisham,Stillness Junior School,Good,Brockley Rise,Forest Hill,London,1,0,0,Mixed
100705,Lewisham,Stillness Infant School,Good,Brockley Rise,,London,1,0,0,Mixed
100708,Lewisham,Torridon Primary School,Good,Hazelbank Road,,London,1,0,0,Mixed
100709,Lewisham,John Ball Primary School,Outstanding,Southvale Road,Blackheath,London,1,0,0,Mixed
100710,Lewisham,Fairlawn Primary School,Good,Honor Oak Road,,London,1,0,0,Mixed
100711,Lewisham,Eliot Bank Primary School,Good,Thorpewood Avenue,Sydenham,London,1,0,0,Mixed
100712,Lewisham,Twin Oaks Primary School,Good,Scawen Road,,London,1,0,0,Mixed
100713,Lewisham,Myatt Garden Primary School,Good,Rokeby Road,Brockley,London,1,0,0,Mixed
100714,Lewisham,Horniman Primary School,Good,Horniman Drive,,London,1,0,0,Mixed
100715,Lewisham,Perrymount Primary School,Good,Sunderland Road,Forest Hill,London,1,0,0,Mixed
100716,Lewisham,Ashmead Primary School,Good,Ashmead Road,,London,1,0,0,Mixed
100717,Lewisham,Brindishe Lee School,Good,Wantage Road,Lee Green,London,1,0,0,Mixed
100718,Lewisham,Kilmorie Primary School,Good,Kilmorie Road,,London,1,0,0,Mixed
100719,Lewisham,All Saints' Church of England Primary School Blackheath,Good,2 Blackheath Vale,Blackheath,London,1,0,0,Mixed
100723,Lewisham,Holy Trinity Church of England Primary School,Good,Dartmouth Road,Forest Hill,London,1,0,0,Mixed
100724,Lewisham,St Margaret's Lee CofE Primary School,Outstanding,Lee Church Street,,London,1,0,0,Mixed
100725,Lewisham,St Augustine's Catholic Primary School and Nursery,Good,Dunfield Road,,London,1,0,0,Mixed
100726,Lewisham,St Bartholomews's Church of England Primary School,Good,The Peak,Sydenham,London,1,0,0,Mixed
100727,Lewisham,St James's Hatcham Church of England Primary School,Good,St James's,New Cross,London,1,0,0,Mixed
100729,Lewisham,St Joseph's Catholic Primary School,Good,Crossfield Street,Deptford,London,1,0,0,Mixed
100730,Lewisham,St Mary's Lewisham Church of England Primary School,Good,329 Lewisham High Street,,London,1,0,0,Mixed
100731,Lewisham,St Michael's Church of England Primary School,Good,Champion Road,Sydenham,London,1,0,0,Mixed
100732,Lewisham,Our Lady and St Philip Neri Roman Catholic Primary School,Good,208 Sydenham Road,,London,1,0,0,Mixed
100733,Lewisham,St Saviour's Catholic Primary School,Good,10 Bonfield Road,Lewisham,London,1,0,0,Mixed
100734,Lewisham,St Stephen's CofE Primary School,Good,Albyn Road,Deptford,London,1,0,0,Mixed
100737,Lewisham,St William of York Catholic Primary School,Good,Brockley Park,Forest Hill,London,1,0,0,Mixed
100739,Lewisham,Holy Cross Catholic Primary School,Outstanding,Culverley Road,Catford,London,1,0,0,Mixed
100740,Lewisham,Deptford Green School,Good,Edward Street,New Cross,London,0,1,0,Mixed
100741,Lewisham,Sydenham School,Good,Dartmouth Road,,London,0,1,1,Girls
100742,Lewisham,Conisborough College,Requires improvement,Conisborough Crescent,Catford,London,0,1,0,Mixed
100745,Lewisham,Forest Hill School,Good,Dacres Road,Forest Hill,London,0,1,1,Boys
100748,Lewisham,Addey and Stanhope School,Good,472 New Cross Road,New Cross,London,0,1,0,Mixed
100749,Lewisham,"Trinity Church of England School, Lewisham",Good,Taunton Road,,London,1,1,0,Mixed
100750,Lewisham,Prendergast School,Outstanding,Adelaide Avenue,Brockley,London,0,1,1,Girls
100760,Lewisham,Brent Knoll School,Good,Perry Rise,,London,1,1,1,Mixed
100765,Lewisham,Greenvale School,Outstanding,Waters Road,Catford,London,0,1,1,Mixed
100766,Lewisham,Watergate School,Outstanding,Lushington Road,Bellingham,London,1,0,0,Mixed
100774,Southwark,Albion Primary School,Good,Albion Street,Rotherhithe,London,1,0,0,Mixed
100775,Southwark,Bellenden Primary School,Good,Dewar Street,,London,1,0,0,Mixed
100782,Southwark,Cobourg Primary School,Requires improvement,Cobourg Road,,London,1,0,0,Mixed
100783,Southwark,Comber Grove School,Good,Comber Grove,Camberwell,London,1,0,0,Mixed
100784,Southwark,Crampton Primary,Outstanding,Iliffe Street,Walworth,London,1,0,0,Mixed
100785,Southwark,Crawford Primary School,Good,Crawford Road,,London,1,0,0,Mixed
100786,Southwark,Dog Kennel Hill School,Good,Dog Kennel Hill,East Dulwich,London,1,0,0,Mixed
100790,Southwark,Goodrich Community Primary School,Requires improvement,Dunstans Road,East Dulwich,London,1,0,0,Mixed
100791,Southwark,Grange Primary School,Requires improvement,Webb Street,,London,1,0,0,Mixed
100793,Southwark,Heber Primary School,Good,Heber Road,East Dulwich,London,1,0,0,Mixed
100794,Southwark,Hollydale Primary School,Good,Hollydale Road,Nunhead,London,1,0,0,Mixed
100795,Southwark,Ilderton Primary School,Outstanding,Varcoe Road,,London,1,0,0,Mixed
100796,Southwark,Ivydale Primary School,Good,Ivydale Road,Nunhead,London,1,0,0,Mixed
100798,Southwark,John Ruskin Primary School and Language Classes,Outstanding,John Ruskin Street,Camberwell,London,1,0,0,Mixed
100800,Southwark,Keyworth Primary School,Good,"Keyworth Primary School, Faunce Street",,London,1,0,0,Mixed
100801,Southwark,Dulwich Wood Primary School,Good,Bowen Drive,Kingswood Estate,London,1,0,0,Mixed
100803,Southwark,Michael Faraday School,Good,Portland Street,Walworth,London,1,0,0,Mixed
100808,Southwark,Riverside Primary School,Good,Janeway Street,,London,1,0,0,Mixed
100809,Southwark,Robert Browning Primary School,Good,King and Queen Street,Walworth,London,1,0,0,Mixed
100810,Southwark,Rotherhithe Primary School,Good,61 Hawkstone Road,,London,1,0,0,Mixed
100811,Southwark,Snowsfields Primary School,Good,Kirby Grove,,London,1,0,0,Mixed
100812,Southwark,Southwark Park Primary School,Good,383 Southwark Park Road,Bermondsey,London,1,0,0,Mixed
100813,Southwark,Tower Bridge Primary School,Good,Fair Street,,London,1,0,0,Mixed
100814,Southwark,Townsend Primary School,Good,Townsend Street,,London,1,0,0,Mixed
100815,Southwark,Victory Primary School,Good,Elba Place,Rodney Road,London,1,0,0,Mixed
100816,Southwark,Charlotte Sharman Primary School,Good,St George's Road,West Square,London,1,0,0,Mixed
100817,Southwark,Phoenix Primary School,Outstanding,Marlborough Grove,,London,1,0,0,Mixed
100818,Southwark,Pilgrims' Way Primary School,Good,Tustin Estate,Manor Grove,London,1,0,0,Mixed
100819,Southwark,Alfred Salter Primary School,Good,Quebec Way,Rotherhithe,London,1,0,0,Mixed
100821,Southwark,Oliver Goldsmith Primary School,Good,Peckham Road,Camberwell,London,1,0,0,Mixed
100822,Southwark,Boutcher Church of England Primary School,Outstanding,93 Grange Road,Bermondsey,London,1,0,0,Mixed
100823,Southwark,Dulwich Village Church of England Infants' School,Outstanding,Dulwich Village,,London,1,0,0,Mixed
100824,Southwark,English Martyrs' Roman Catholic Primary School,Good,Flint Street,,London,1,0,0,Mixed
100825,Southwark,St James the Great Roman Catholic Primary School,Good,Peckham Road,,London,1,0,0,Mixed
100826,Southwark,St Francis RC Primary School,Good,Friary Road,Peckham,London,1,0,0,Mixed
100827,Southwark,St George's Church of England Primary School,Good,Coleman Road,Camberwell,London,1,0,0,Mixed
100828,Southwark,St George's Cathedral Catholic Primary School,Good,28 Lambeth Road,,London,1,0,0,Mixed
100829,Southwark,St James' Church of England Primary School,Good,Old Jamaica Road,Bermondsey,London,1,0,0,Mixed
100830,Southwark,St John's and St Clement's Church of England Primary School,Good,Adys Road,Peckham,London,1,0,0,Mixed
100832,Southwark,St Joseph's Roman Catholic Primary School,Good,George Row,Bermondsey,London,1,0,0,Mixed
100833,Southwark,St Joseph's Catholic Primary School,Outstanding,Gomm Road,Lower Road,London,1,0,0,Mixed
100834,Southwark,"Saint Joseph's Catholic Primary School, the Borough",Good,Little Dorrit Court,,London,1,0,0,Mixed
100835,Southwark,St Jude's Church of England Primary School,Good,Colnbrook Street,,London,1,0,0,Mixed
100836,Southwark,St Mary Magdalene Church of England Primary School,Requires improvement,48 Brayards Road,,London,1,0,0,Mixed
100837,Southwark,Peter Hills with St Mary's and St Paul's CofE Primary School,Good,2 Beatson Walk,Rotherhithe,London,1,0,0,Mixed
100839,Southwark,St Peter's Church of England Primary School,Good,Liverpool Grove,Walworth,London,1,0,0,Mixed
100841,Southwark,St John's Roman Catholic Primary School,Good,St Elmo's Road,,London,1,0,0,Mixed
100849,Southwark,St Saviour's and St Olave's Church of England School,Good,New Kent Road,,London,0,1,1,Girls
100851,Southwark,St Francesca Cabrini Primary School,Good,Forest Hill Road,Honor Oak,London,1,0,0,Mixed
100852,Southwark,St Anthony's Catholic Primary School,Good,Etherow Street,Dulwich,London,1,0,0,Mixed
100853,Southwark,St Joseph's Catholic Junior School,Good,Pitman Street,Camberwell,London,1,0,0,Mixed
100854,Southwark,St Joseph's Catholic Infants School,Good,Pitman Street,Camberwell,London,1,0,0,Mixed
100855,Southwark,Friars Primary Foundation School,Good,Webber Street,Blackfriars,London,1,0,0,Mixed
100857,Southwark,The St Thomas the Apostle College,Outstanding,Hollydale Road,Nunhead,London,0,1,1,Boys
100859,Southwark,Notre Dame Roman Catholic Girls' School,Outstanding,118 St George's Road,,London,0,1,0,Girls
100861,Southwark,Dulwich College,,Dulwich Common,Dulwich,London,1,1,1,Mixed
100863,Southwark,James Allen's Girls' School,,East Dulwich Grove,,London,1,1,1,Girls
100864,Southwark,Alleyn's School,,Townley Road,Dulwich,London,1,1,1,Mixed
100866,Southwark,Herne Hill School,,127 Herne Hill,Herne Hill,London,1,0,0,Mixed
100872,Southwark,Highshore School,Good,135 Farmers Road,Camberwell,London,0,1,1,Mixed
100878,Southwark,Haymerle School,Good,Haymerle Road,,London,1,0,0,Mixed
100879,Southwark,Beormund Primary School,Outstanding,Crosby Row,Long Lane,London,1,0,0,Mixed
100880,Southwark,Tuke School,Outstanding,Daniel Gardens,Peckham,London,0,1,1,Mixed
100881,Southwark,Cherry Garden School,Outstanding,41 Bellenden Road,,London,1,0,0,Mixed
100890,Tower Hamlets,Ben Jonson Primary School,Good,Harford Street,Stepney,London,1,0,0,Mixed
100891,Tower Hamlets,Bonner Primary School,Good,Stainsbury Street,Bethnal Green,London,1,0,0,Mixed
100892,Tower Hamlets,Old Palace Primary School,Good,St Leonard's Street,Bow,London,1,0,0,Mixed
100893,Tower Hamlets,Canon Barnett Primary School,Good,Gunthorpe Street,Aldgate,London,1,0,0,Mixed
100894,Tower Hamlets,Cayley Primary School,Good,Aston Street,Stepney,London,1,0,0,Mixed
100895,Tower Hamlets,Blue Gate Fields Junior School,Good,King David Lane,Wapping,London,1,0,0,Mixed
100896,Tower Hamlets,Chisenhale Primary School,Good,Chisenhale Road,Bow,London,1,0,0,Mixed
100897,Tower Hamlets,Columbia Primary School,Good,Columbia Road,Bethnal Green,London,1,0,0,Mixed
100898,Tower Hamlets,Cubitt Town Primary School,Good,Manchester Road,Isle of Dogs,London,1,0,0,Mixed
100902,Tower Hamlets,Globe Primary School,Outstanding,Gawber Street,Bethnal Green,London,1,0,0,Mixed
100903,Tower Hamlets,Hague Primary School,Good,Wilmot Street,,London,1,0,0,Mixed
100904,Tower Hamlets,Harbinger Primary School,Good,Cahir Street,,London,1,0,0,Mixed
100906,Tower Hamlets,John Scurr Primary School,Good,Cephas Street,Stepney Green,London,1,0,0,Mixed
100907,Tower Hamlets,Lawdale Junior School,Good,Mansford Street,Bethnal Green,London,1,0,0,Mixed
100908,Tower Hamlets,Elizabeth Selby Infants' School,Good,Old Bethnal Green Road,Bethnal Green,London,1,0,0,Mixed
100911,Tower Hamlets,Marion Richardson Primary School,Outstanding,Senrab Street,,London,1,0,0,Mixed
100912,Tower Hamlets,Marner Primary School,Good,Devas Street,Bow,London,1,0,0,Mixed
100913,Tower Hamlets,Mayflower Primary School,Outstanding,Upper North Street,Poplar,London,1,0,0,Mixed
100914,Tower Hamlets,Mowlem Primary School,Outstanding,Mowlem Street,Bishops Way,London,1,0,0,Mixed
100915,Tower Hamlets,Blue Gate Fields Infants' School,Good,King David Lane,Stepney,London,1,0,0,Mixed
100916,Tower Hamlets,Olga Primary School,Good,Lanfranc Road,Bow,London,1,0,0,Mixed
100917,Tower Hamlets,Stepney Park Primary School,Good,Smithy Street,Stepney,London,1,0,0,Mixed
100920,Tower Hamlets,Manorfield Primary School,Good,Wyvis Street,Poplar,London,1,0,0,Mixed
100923,Tower Hamlets,Stewart Headlam Primary School,Outstanding,Tapp Street,Stepney,London,1,0,0,Mixed
100926,Tower Hamlets,Virginia Primary School,Outstanding,Virginia Road,Bethnal Green,London,1,0,0,Mixed
100927,Tower Hamlets,Wellington Primary School,Outstanding,Wellington Way,Bow,London,1,0,0,Mixed
100928,Tower Hamlets,Woolmore Primary School,Outstanding,Woolmore Street,Poplar,London,1,0,0,Mixed
100930,Tower Hamlets,Thomas Buxton Primary School,Outstanding,Buxton Street,Bethnal Green,London,1,0,0,Mixed
100931,Tower Hamlets,Seven Mills Primary School,Good,Malabar Street,Isle of Dogs,London,1,0,0,Mixed
100934,Tower Hamlets,Osmani Primary School,Good,Vallance Road,Whitechapel,London,1,0,0,Mixed
100936,Tower Hamlets,Hermitage Primary School,Requires improvement,Vaughan Way,,London,1,0,0,Mixed
100937,Tower Hamlets,Bangabandhu Primary School,Good,Wessex Street,Bethnal Green,London,1,0,0,Mixed
100938,Tower Hamlets,Halley Primary School,Good,Halley Street,,London,1,0,0,Mixed
100939,Tower Hamlets,Bigland Green Primary School,Outstanding,Bigland Street,Wapping,London,1,0,0,Mixed
100940,Tower Hamlets,Kobi Nazrul Primary School,Good,Settles Street,Whitechapel,London,1,0,0,Mixed
100943,Tower Hamlets,William Davis Primary School,Good,Wood Close,Cheshire Street,London,1,0,0,Mixed
100944,Tower Hamlets,Christ Church CofE School,Good,47a Brick Lane,Spitalfields,London,1,0,0,Mixed
100946,Tower Hamlets,Stepney Greencoat Church of England Primary School,Good,Norbiton Road,Limehouse,London,1,0,0,Mixed
100949,Tower Hamlets,St Agnes RC Primary School,Outstanding,Rainhill Way,Bow,London,1,0,0,Mixed
100950,Tower Hamlets,St Anne's and Guardian Angels Catholic Primary School,Good,Underwood Road,Whitechapel,London,1,0,0,Mixed
100951,Tower Hamlets,St Edmund's Catholic School,Good,299 Westferry Road,Millwall,London,1,0,0,Mixed
100953,Tower Hamlets,St John's Church of England Primary School,Good,Peel Grove,Bethnal Green,London,1,0,0,Mixed
100954,Tower Hamlets,St Luke's Church of England Primary School,Good,Saunders Ness Road,Isle of Dogs,London,1,0,0,Mixed
100958,Tower Hamlets,St Paul With St Luke CofE Primary Federation,Good,Leopold Street,Bow,London,1,0,0,Mixed
100959,Tower Hamlets,St Paul's Whitechapel Church of England Primary School,Good,Wellclose Square,Stepney,London,1,0,0,Mixed
100960,Tower Hamlets,St Peter's London Docks CofE Primary School,Outstanding,Garnet Street,,London,1,0,0,Mixed
100961,Tower Hamlets,St Saviour's Church of England Primary School,Outstanding,Chrisp Street,Poplar,London,1,0,0,Mixed
100962,Tower Hamlets,English Martyrs Roman Catholic Primary School,Good,St Mark Street,Wapping,London,1,0,0,Mixed
100965,Tower Hamlets,Bow School,Good,44 Twelvetrees Crescent,Bow,London,0,1,1,Mixed
100966,Tower Hamlets,Langdon Park Community School,Good,Bright Street,Poplar,London,0,1,1,Mixed
100967,Tower Hamlets,Morpeth School,Good,Portman Place,Bethnal Green,London,0,1,1,Mixed
100972,Tower Hamlets,Oaklands School,Good,Old Bethnal Green Road,Bethnal Green,London,0,1,1,Mixed
100973,Tower Hamlets,Swanlea School,Outstanding,31 Brady Street,Whitechapel,London,0,1,1,Mixed
100974,Tower Hamlets,George Green's School,Good,100 Manchester Road,Isle of Dogs,London,0,1,1,Mixed
100975,Tower Hamlets,Central Foundation Girls' School,Good,Bow Road,,London,0,1,1,Girls
100977,Tower Hamlets,Stepney All Saints Church of England Secondary School,Outstanding,Stepney Way,Stepney,London,0,1,1,Mixed
100978,Tower Hamlets,Bishop Challoner Catholic School,Good,352 Commercial Road,,London,0,1,1,Mixed
100980,Tower Hamlets,Gatehouse School,,Sewardstone Road,Victoria Park,London,1,0,0,Mixed
100982,Tower Hamlets,Madani Secondary Girls' School,Good,Myrdle Street,,London,0,1,1,Girls
100987,Tower Hamlets,Phoenix School,Outstanding,49 Bow Road,,London,1,1,1,Mixed
100989,Tower Hamlets,Beatrice Tate School,Outstanding,41 Southern Grove,Mile End,London,0,1,1,Mixed
100995,Wandsworth,Alderbrook Primary School,Good,Oldridge Road,Balham,London,1,0,0,Mixed
100996,Wandsworth,Allfarthing Primary School,Good,St Ann's Crescent,Wandsworth,London,1,0,0,Mixed
100997,Wandsworth,Beatrix Potter Primary School,Good,Magdalen Road,Earlsfield,London,1,0,0,Mixed
101001,Wandsworth,Brandlehow Primary School,Good,Brandlehow Road,Putney,London,1,0,0,Mixed
101002,Wandsworth,Broadwater Primary School,Requires improvement,Broadwater Road,Tooting,London,1,0,0,Mixed
101005,Wandsworth,Earlsfield Primary School,Outstanding,Tranmere Road,,London,1,0,0,Mixed
101006,Wandsworth,Falconbrook Primary School,Good,Wye Street,Battersea,London,1,0,0,Mixed
101007,Wandsworth,Fircroft Primary School,Requires improvement,Fircroft Road,Tooting Bec,London,1,0,0,Mixed
101009,Wandsworth,Furzedown Primary School,Good,Beclands Road,Tooting,London,1,0,0,Mixed
101011,Wandsworth,Honeywell Junior School,Good,Honeywell Road,Battersea,London,1,0,0,Mixed
101012,Wandsworth,Honeywell Infant School,Good,Honeywell Road,Battersea,London,1,0,0,Mixed
101013,Wandsworth,Hotham Primary School,Good,Charlwood Road,Putney,London,1,0,0,Mixed
101014,Wandsworth,John Burns Primary School,Good,Wycliffe Road,Lavender Hill,London,1,0,0,Mixed
